id,text,file,node,lineNumber
line:0fe03d5,Faither@Morning son.,Faimly_Faither,Faither,6
line:06310bb,Morning dad,Faimly_Faither,Faither,7
line:0bc8847,"Faither@Today's the day you start the school, isn't it?",Faimly_Faither,Faither,8
line:07dee60,Yes,Faimly_Faither,Faither,9
line:0726f17,"Faither@I remember my time at school, I used to get into fights all the time.",Faimly_Faither,Faither,10
line:0b83faf,"Faither@You're not the biggest kid son, you're very skinny.",Faimly_Faither,Faither,11
line:03c89ee,"Faither@If one of those boys starts at you, you have to hit them back.",Faimly_Faither,Faither,12
line:07689ec,"Faither@You'll come out it sore, but you can't let people walk over you.",Faimly_Faither,Faither,13
line:015f7d7,"Faither@Remember that, and you'll be alright.",Faimly_Faither,Faither,14
line:0ad44d8,...,Faimly_Faither,Faither,15
line:0554ac8,"Faither@Right, will we head off?",Faimly_Faither,Faither,16
line:08fd786,Faither@...,Faimly_Faither,Faither,17
line:050a374,Faither@Have you seen my _____ any where?,Faimly_Faither,Faither,18
line:07d8413,Faither@Help me find my _____ and we can leave.,Faimly_Faither,Faither,19
line:02cd72c,Faither@That's not my ______.,Faimly_Faither,Faither,24
line:085bf01,Faither@Maybe your mother knows where I left it.,Faimly_Faither,Faither,25
line:0efed13,"Faither@You've found it! Good stuff, thanks son.",Faimly_Faither,Faither,31
line:0324a2f,"Faither@Right, let's get you to school.",Faimly_Faither,Faither,32
line:0ea3d16,Faither@You can't leave without your ____!,Faimly_Faither,Faither,36
