id,text,file,node,lineNumber
line:094104b,"Connor@Get tae fuck, am no in mood fur your shite.",Pals_Connor,Pals.Connor,4
line:00555a4,"James@A canne fucking believe you, whit wis that aw aboot?",Pals_Connor,Pals.Connor,5
line:086aa3e,James@If you hud the baw ye passed it tae wan ither cunt! Whit's the pint in ye being up front if ye cannae fucking dae anyhing.,Pals_Connor,Pals.Connor,6
line:075c817,"--> Aye, a agree wi James. Ye wur mince.",Pals_Connor,Pals.Connor,7
line:0449839,"--> Yes, i agree with James. You were shit.",Pals_Connor,Pals.Connor,8
line:0e934cc,"Connor@""Y e s  I  a g r e e""",Pals_Connor,Pals.Connor,9
line:0ee2f10,James@Why ur ye talking like a fanny?,Pals_Connor,Pals.Connor,10
line:09d4636,--> You're the one that's shit at football.,Pals_Connor,Pals.Connor,11
line:0a23a07,--> You're the wan thit's mince et fitba.,Pals_Connor,Pals.Connor,12
line:04bdde9,"James@Whitiver, lea iz alane, it's bi wae noo.",Pals_Connor,Pals.Connor,13
line:0ba6f66,Connor@Honenstly man.,Pals_Connor,Pals.Connor,14
line:012f712,"Connor@Glen ma boay, *you* wurnae shite. There's mibbie hope fur this team yit.",Pals_Connor,Pals.Connor,15
line:040ded3,"--> Thanks pal, am done in.",Pals_Connor,Pals.Connor,16
line:0352911,Connor@Nae bother.,Pals_Connor,Pals.Connor,17
line:085d7b3,"--> Thanks friend, i'm knackered now.",Pals_Connor,Pals.Connor,18
line:0a75b56,"Connor@Nae boather ""friend"".",Pals_Connor,Pals.Connor,19
line:02dfea7,James@Yous dain onyhing efterwards?,Pals_Connor,Pals.Connor,20
line:06a61aa,"Connor@A wis mibbie hinkin o gaun up tae the bing. A wiz oot wae the auld man the day afore last, ye ken how he likes his burd watching.",Pals_Connor,Pals.Connor,21
line:048c6a2,"Connor@He's been wantin tae see a lapwing fur a while, bit a hink there aw gone. It's jist stuckies an cuhie doos noo.",Pals_Connor,Pals.Connor,22
line:0e022f8,"Connor@No ma cup o tea, bit a saw a deid tod when a wiz wae him. Gied me the boke, bit it was kinna cuil.",Pals_Connor,Pals.Connor,23
line:02b0556,Connor@Onywiys he's asked if a want tae jine him agane. A hink a wull.,Pals_Connor,Pals.Connor,24
line:0e631c0,James@That's boggin. Yer no richt.,Pals_Connor,Pals.Connor,25
line:0d0d9e8,Connor@Dae ye want tae jine me Glen?,Pals_Connor,Pals.Connor,26
