id,text,file,node,lineNumber
line:0c869c6,Mr Hamilton@Guid mornin cless!,Scuil2_Pal,Scuil2.Teacher,4
line:0eefada,The class@G u i d  m o r n i n  M r  H a m i l t o n .,Scuil2_Pal,Scuil2.Teacher,5
line:0a39da9,"Mr Hamilton@It's that time o year again, Burns Nicht!",Scuil2_Pal,Scuil2.Teacher,6
line:07b6348,Mr Hamilton@Rabbie Burns; bard of Ayrshire; the Ploughman Poet.,Scuil2_Pal,Scuil2.Teacher,7
line:0754070,Mr Hamilton@A naitional traisure.,Scuil2_Pal,Scuil2.Teacher,8
line:0c1e44e,"Mr Hamilton@Ye ken the drill bi noo, ivverie Burns Nicht ilka primary cless haes a competition fur best poyum recital.",Scuil2_Pal,Scuil2.Teacher,9
line:048285e,Mr Hamilton@There's shoartbreiad an a boattle o ginger fur the winner!,Scuil2_Pal,Scuil2.Teacher,10
line:05e52a4,"Mr Hamilton@Since yous ur aulder noo, ye get a mair diffeecult poyum fae last year.",Scuil2_Pal,Scuil2.Teacher,11
line:06fc24f,"Mr Hamilton@This year wi ur learning ""Tae a moose"".",Scuil2_Pal,Scuil2.Teacher,12
line:0c38a75,"Mr Hamilton@Burns iz said tae hae scrieved the poyum efter hashing a mooses byke whun he wis oot pleuching the fields, jist afore winter!",Scuil2_Pal,Scuil2.Teacher,13
line:0963d74,Mr Hamilton@Burns' brither claimed he scrieved hit whilst still haudin the pleuch.,Scuil2_Pal,Scuil2.Teacher,14
line:09e166b,"Mr Hamilton@Right cless, get lairnin!",Scuil2_Pal,Scuil2.Teacher,15
line:03a269a,Connor@Hawl,Scuil2_Pal,Scuil2.Pal,21
line:0e1dbcf,"Connor@This is shit, I hate that we have to do this every year.",Scuil2_Pal,Scuil2.Pal,22
line:0d4e1ab,"Connor@I mean, I can read some of it, some of those words look familiar.",Scuil2_Pal,Scuil2.Pal,23
line:09ce281,"Connor@Bit at the same time, it just looks wrong.",Scuil2_Pal,Scuil2.Pal,24
line:0c9109f,Mr Hamilton@Glen!,Scuil2_Pal,Scuil2.Pal,26
line:06baeb8,Mr Hamilton@De ye hae somehing to pairt wi the rest o the cless?,Scuil2_Pal,Scuil2.Pal,27
line:0377fa4,"Naw, a wisnae talkin.",Scuil2_Pal,Scuil2.Pal,28
line:0f679e8,"No, i wasn't talking.",Scuil2_Pal,Scuil2.Pal,29
line:065f014,Mr Hamilton@Dinnae tak iz fur bein an eejit.,Scuil2_Pal,Scuil2.TeacherTellOff,34
line:0ee0b3e,"Mr Hamilton@Dinnae dae it again, or you an Connor wull be seperated.",Scuil2_Pal,Scuil2.TeacherTellOff,35
line:0e8fe91,Mr Hamilton@Back tae studying the poyum.,Scuil2_Pal,Scuil2.TeacherTellOff,36
line:03d53fa,"Mr Hamilton@Excaise iz, say that again?",Scuil2_Pal,Scuil2.TeacherNotHappy,42
line:0a2e9a4,"It wisnae me, a wisnae talkin.",Scuil2_Pal,Scuil2.TeacherNotHappy,43
line:08f2fcd,"It wasn't me, I was not speaking.",Scuil2_Pal,Scuil2.TeacherNotHappy,46
line:0bac05b,Mr Hamilton@Ur ye gieing me cheek?,Scuil2_Pal,Scuil2.TeacherNotHappy,44
line:095b2e8,"Mr Hamilton@A want a wid wi ye, get ootside.",Scuil2_Pal,Scuil2.TeacherNotHappy,45
