id,text,file,node,lineNumber
line:09c2d03,Darren@Hullo. (((NEW LINE))),Joab_Interviewer,Joab.Interviewer,4
line:0f3dc70,Darren@This is Darren speaking noo. (((NEW LINE))),Joab_Interviewer,Joab.Interviewer,5
line:08eb5bb,"Darren@Like the previous scene, a've no written the dialogue fur this scene yit. (((NEW LINE)))",Joab_Interviewer,Joab.Interviewer,6
line:0aff657,"Darren@This is the job interview scene. If you speak English here, you'll get the job. If ye speak Scots, ye wullnae. (((NEW LINE)))",Joab_Interviewer,Joab.Interviewer,7
line:0898317,"Darren@There's one more scene after this. Glen (the player) will enter the last flat, which will actually be his flat. It will be fully textured, meaning it's not a memory scene like this. Glen will sit down and have a conversation with his wife. The player will get to control the conversation and choose whatever language they want. There will be no consequences for choices. The player will choose how Glen expresses himself in his home/hame. (((NEW LINE)))",Joab_Interviewer,Joab.Interviewer,8
line:0ba99ec,"Darren@Anyhoo, about the game... (((NEW LINE)))",Joab_Interviewer,Joab.Interviewer,9
line:06edbc3,Darren@What did you think? Do the characters feel natural? Does the dialogue make sense? (((NEW LINE))),Joab_Interviewer,Joab.Interviewer,10
line:0a757a1,"Darren@Has the game shed light the social status at play in Scotland, or do you think it was just a series of quirky conversations in Scots? (((NEW LINE)))",Joab_Interviewer,Joab.Interviewer,11
line:006afb8,Darren@Let us ken. (((NEW LINE))),Joab_Interviewer,Joab.Interviewer,12
line:03b80fa,"Darren@There's nothing left to play after this conversation, you can quit the game now. (((NEW LINE)))",Joab_Interviewer,Joab.Interviewer,13
