id,text,file,node,lineNumber
line:0fe03d5,Faither: Mornin son.,Faimly_Faither,Faither,7
line:06310bb,--> Mornin da,Faimly_Faither,Faither,8
line:0bc8847,"Faither: The day's the day ye stert the scuil, intit?",Faimly_Faither,Faither,9
line:07dee60,--> Aye,Faimly_Faither,Faither,10
line:0726f17,"Faither: A mind ma time et the scuil, yaised tae get intae rammies aw the time.",Faimly_Faither,Faither,11
line:0b83faf,"Faither: Yer no the biggest wean son, yer a wee skinny malink.",Faimly_Faither,Faither,12
line:03c89ee,"Faither: If wa o thae boays sterts et ye, ye hiv tae hit thaim back.",Faimly_Faither,Faither,13
line:07689ec,"Faither: Ye'll come oot it sair, bit ye cannae let folk walk ower ye.",Faimly_Faither,Faither,14
line:015f7d7,"Faither: Mind at, n ye'll be awricht.",Faimly_Faither,Faither,15
line:0ad44d8,--> ...,Faimly_Faither,Faither,16
line:0554ac8,Faither: Right. wull we head aff?,Faimly_Faither,Faither,17
line:08fd786,Faither: ...,Faimly_Faither,Faither,18
line:050a374,Faither: Hiv ye seen ma bunnet onie whaur?,Faimly_Faither,Faither,19
line:07d8413,Faither: Help me fin ma bunnet an we kin lea.,Faimly_Faither,Faither,20
line:02cd72c,Faither: That's no ma bunnet.,Faimly_Faither,Faither,24
line:085bf01,Faither: Mibbie yer mither kens whaur a left it.,Faimly_Faither,Faither,25
