id,text,file,node,lineNumber
line:794945,"Player: Awryt, Sally.",Sally,Sally,7
line:2dc39b,Sally: Aw! Hiya.,Sally,Sally,8
line:34de2f,Sally: Ye spooked me.,Sally,Sally,9
line:dcc2bc,Sally: Dinnae dae that.,Sally,Sally,10
line:a8e70c,Player: Hiya.,Sally,Sally,12
line:305cde,Sally: Hiya.,Sally,Sally,13
line:5d7a7c,Onyhing excitin happen on yer watch?,Sally,Sally,17
line:0a7e39,Sorry aboot the console.,Sally,Sally,21
line:0facf7,See ye later.,Sally,Sally,23
line:8c3f98,Sally: No really.,Sally,Sally.Watch,31
line:24c418,"Sally: Same auld nebula, dain it's usual hing.",Sally,Sally.Watch,32
line:df4eaf,"Sally: Aw I mind, Ship wanted tae see ye. Gi iver n say hiya tae it.",Sally,Sally.Watch,33
line:1fea6c,Player: Awready din that!,Sally,Sally.Watch,36
line:5df323,Sally: Gi iver an say hiya again.,Sally,Sally.Watch,37
line:60c282,Sally: See ye.,Sally,Sally.Exit,46
line:d7df49,Sally: Aye. Don't dae it again.,Sally,Sally.Sorry,54
