id,text,file,node,lineNumber
line:5837f2,"Ship: Awryt, pal.",Ship,Ship,7
line:ship9,"Player: How's it going?, Ship.",Ship,Ship,8
line:ship10,Player: How's space?, Ship,Ship,9
line:ship11,"Ship: Oh, mate.",Ship,Ship,10
line:ship12,Ship: It's MASSIVE!,Ship,Ship,12
line:ship13,Ship: Hiya!!,Ship,Ship,16
line:ship1,Player: Sally said ye wanted tae see me?,Ship,Ship,21
line:ship3,Ship: She did so!!,Ship,Ship,23
line:ship4,Ship: She wanted me tae tell ye...,Ship,Ship,25
line:ship5,Ship: If ye iver go aff-watch withoot resetting the console again...,Ship,Ship,26
line:ship6,Ship: She'll flay ye alive!,Ship,Ship,28
line:ship7,Player: Eh.,Ship,Ship,31
line:0652887,Ship: Onyhing else I kin ye wae?,Ship,Ship,35
line:0a18aa1,"Naw, am awright.",Ship,Ship,37
line:0cc7ce1,Am guid.,Ship,Ship,39
line:00bc835,Ur ye tho?,Ship,Ship,41
line:092cdcd,"Ship: Aw, awright!",Ship,Ship,38
line:06574a4,Ship: Let us ken!,Ship,Ship,40
line:098749d,Ship: Catch ye!,Ship,Ship,43
